,overall,reviewerID,asin,reviewText,summary,vote,newReviewTime
209,2,A1IWSO5TMXWSJJ,B004XW3LLQ,"I so want to quit this series, but I keep holding out hope that it will get creative again...any minute now...still nothing...nope. If you've read one or two stop, seriously, you've read the rest up to this point (I cant's speak for the remaining, they have yet to suck me back in (emphasis on the word 'suck')). Change out the names and start to add more to the reoccurring set list and there you have it, books in a series. So sad, because the first one had such great potential that I keep looking for it in the other books...I didn't find it in this one.

Luke is great, in a bull-headed borderline rapey kind of way (seriously, no just means no sometimes, no matter what you think you see differently when someone's body doesn't lie).  However, Ava, good Lord what a piece of work and this is coming from someone who has also literally worked her ass off. Her annoying, self-proclaimed b*tchy attitude was nothing worth the trouble, certainly not for 4 men to be panting after but it didn't stop her from stringing them along and throwing out enough mixed signals to make even the reader think maybe they have a chance with her.  All while she condemns her sisters for equally bizarre behavior.

I think this is where I get off the repetitive crazy train that is this series. Good luck to all who travel on.","Yay for Luke! ""Eek-Yikes"" for Ava!",3,2017-02-01
210,1,A2SVYC9A8XPAOS,B004YDN934,"I would not call this a young adult book because it mentions mens aroused genitalia too much, rape, and the 17 year old protagonist gets drunk and impregnated by an older man, which is considered child molestation by the UN in this real world.

On top of that, this is a very badly executed tale of the classic orphan finding she has soecial powers combined with the classic girl refusing to be ladylike and owning her own.  Plus the classic two geogous men interested in her romantically. None work of these themes are well executed.  The power is never really clariified, she really is not independent, and there really is no romance.  Character development is quite poor.  All in all, a hodgepodge of a book.",Not young adult,6,2018-03-17
211,5,A253IF6RSPFK7H,B004YDN934,"The rich and powerful tapestry of world building captures the imagination and just doesn't let go. The characters are full of life and complexity. I thoroughly enjoyed this story. It is easy to identify with the peoples and through suspension of disbelief, this world was very real, as are the struggles being faced. Love books that make me think about what I would or wouldn't do in that situation. Great strong female lead. Good for older teens and up. Ms Jansen is an accomplished author you will enjoy reading.",Amazing read,2,2017-09-15
212,4,A36N9SVUL9VZVX,B004YDN934,"Well written tale but some times a little convoluted. So much action, it made my head spin. There's this section near the end of chapter 16 where Jessica supposedly is ahead of her teachers in school and has an affinity for languages which she learns very fast but then turns right around and uses bad grammar.
But the Pengali themselves, I enjoyed immensely. What a party people! They literally live the 60s hippy style... and horny as all get out! Looking forward to finding out more about the Aghyrians.",Very immersing tale,3,2017-03-01
213,3,A1QERL156M718X,B004YDN934,"I didn't enjoy this anything like as much as the Ambassador series. It was hard to follow and, well, not sleazy yet left me feeling uncomfortable. I couldn't really bring myself to like any of the characters. Not really young adult fiction. I've given it three stars for originality. Would I read the follow on? I'm not sure. I loved the Ambassador series. Maybe this one gets better?",Not really young adult fiction,3,2016-09-24
214,4,A2MYC0P0L0W7BU,B004YDN934,"I liked the overall story. Very well written and definitely kept my interest. The only thing that kept me from giving it five stars was the ending. I was hoping for Jessica meeting ""the parents"" or more about Ikay and where their relationship goes.  I know book two is not mainly about Jessica, so is there, or will there be more about her in the future?",Good book,2,2016-08-31
215,1,A2WZYL0HNUR5XH,B004YDN934,"Um, well, if I download a whole book after liking the preview, and then cannot finish it, that's an automatic one star rating.  I guess I should have noticed the complaints in other reviews, but these problems are NOT present in the PREVIEW, at least not enough to be bothersome.  But later I literally couldn't follow what was going on the author jumps around so much.  It's like trying to follow the hallucinations of a druggie on a binge.  Made me wonder exactly what state the author was in when writing?",It's like trying to follow the hallucinations of a druggie on ...,3,2016-02-05
216,5,A3JRWXRBWJNA0O,B004YQVLKO,"This is a really good book for beginners in chicken raising. I have raised chickens from chicks for many years and while they are the best experience that I have ever had, learning before you dive into chicken raising is a must. I wanted to read this book since after losing my chickens about a year ago, I am looking to get them again when we move to our new home. So I wanted to read up on which chicken breeds are good.

I have had the leghorns, silkies, Rhode island reds, and Americana. Out of the ones that I have had I love the Americana, and the reds. The reds are great birds for our climate. They are hardier to the colds. The book goes into details on the best egg birds and the meat birds. I do not kill them for food, just eggs. I grow to love them too much.

I really enjoyed the book, it reminded me all that I needed to do to prepare and is great explanatory guide to raising chickens. I recommend this book 100%.!","Great Book, Perfect Guide For Raising Chickens!",3,2016-10-20
217,3,A5M7E1B2395HN,B004YQVLKO,"This was an alright, quick read.  Trouble is, everything in the book I already knew as it's pretty much just the basics of chicken keeping.  For somebody who has no idea about chickens this would probably be a good starting point.",everything in the book I already knew as it's pretty much just the basics of chicken keeping,3,2016-02-12
218,4,A24GJK93Z36LXE,B004YTFDV4,"The writing is good. The story you think you're getting is a fleeting few minutes and abruptly ends. There's then a 5 chapter teaser for another boo after that. To me, while the writer has good work, this was a bait and switch. I settled in for a short story and came away with an essay length cliff-hanger. I'm glad it was free, however, I'd personally take the story to a fulfilling short story length with a satisfying ending. I did not read the subsequent 5 chapters. Why? I never read incomplete hook material. And now that I've gone back and read the reviews (which I don't read since folks tend to write book reports with spoilers rather than reviews) I see others have warned of the abrupt switch, too. I'd have skipped the experience had I know about it.",Way too short,2,2016-02-12
219,3,AKALCY2HILWXW,B004YWODUS,"The plot is stupid and predicable.  That said, I still enjoyed it despite the flaws.  Great literature it is not.  But, if you just want an afternoon to escape, relax and read, you might like it.  I did.",I enjoyed it depite the plot flaws,3,2017-07-31
220,3,A3ENIMDKTD9H8V,B004YWODUS,"The storyline was okay.  I didn't rate it higher because I got so tired of the H not even being open to examining his grandfather's reasons for such negative treatment.  Supposedly, the H is an intelligent businessman, although his company seems only in the background and not of any great concern.
  I liked that the h was consistent in her goal to build a good library for the town.
  There was graphic sex that I found myself definitely skimming over...  I've no desire to stand by to watch a couple having sex, nor take notes on specific moves, and that's pretty much what intimate description seems.  I believe people need their privacy.",An okay read.,2,2016-10-17
221,5,A2EGIKLQGOV5I6,B004YXLGYI,"This was a great read, it kept me up to the wee hours. The hero is all about pleasure (sexual mostly) and is not embarrassed by his rogue status. The heroine is lost in a world of pain and drugged out of her mind. Giles and Lillian (our H n h) were betrothed as children, but after a childhood ""accident"" leaves Lillian broken the betrothal was broken by her family and Giles was told that she was dead.
A story with a difference but also quite sensual had me loving Giles for the way he took care of Lilly and kept me wondering how was the villain going to get to Lilly so he'd be unmasked. I've read 3 novels in this series and loved all three. Give it a try.",Nothing Broken About this story,6,2016-12-02
222,4,A3Q5TVWXW1KMMH,B004YXLGYI,I enjoyed this book very much.  I liked the characters very much. The hero and heroine were created as believable beings.  It had all the elements required for a good story.,Only my opinion,2,2016-09-12
223,5,A1AJKKRXCH65TG,B004YZB8XU,"This is first novel of Kasi Blake that I've read and it was a great one. It had mystery,  suspense, a little bit of romance and of course paranormal. It simply an exciting novel that I couldn't put down until I finished it. I look forward to reading the next novel 'Werewolves Rule'.",Vampires Rule,2,2016-08-11
224,3,ANNGMGU0OJS0E,B004Z7TWO4,"For two ships passing in the night (ie a one-night stand), the H/h were pretty likeable.
This short story was sexy and actually kinda' sweet. I would have liked it even better if the two stray dogs were also included in the HEA. lol",the H/h were pretty likeable. This short story was sexy and actually ...,2,2017-06-06
225,4,A1V4LZS4HHHH6K,B004Z7TWO4,"This is a fast paced read with plenty of drama and suspense.  Great characters and a great story, just wish there was more.  I really liked it.",I really liked it!,2,2017-06-02
226,4,AMKWWOUWUIUQL,B004ZZGUAA,"This is one of those books that r just too much fun to put down. Follow Rob and Jen as they go through the funny and exciting times while trying to see if they are mates. I am a reader that wants the full range of emotions while reading a story, however, there are times when a book his on just three or four emotions and the story is a huge success. Have a seat in your favorite chair get your snacks, something to drink and prepare to laugh, get anxious and smile with satisfaction. Rob doesn't quite know what he wants while Jen does but doesn't know if it will work; their journey to finding the answer will keep you reading.",Fun and excitement,2,2017-03-19
227,4,A1BOINGLPB5I1M,B004ZZGUAA,"This was a fun, light read. I do not mean short, just no overt sex or even heavy petting. Unless you are speaking of the hero petting the heroine when she was in wolf form. There were some laugh at loud moments and some serious moments. I was a little disappointed because the heroine never actually shifted in mouse form in this book other than to tell a few anecdotes of when she was younger. Also, there was no resolution on the bad guys, which to me was the more interesting part of the story. But overall I did enjoy it. I really liked a secondary character named Ali. She did shift in her raccoon form, and she was the most interesting character in the book. She was always getting in trouble and never able to tell the truth. But her lies were so bad they were funny.",Light Romp,2,2016-09-30
228,5,A313ZQYNP540YZ,B00506U95K,"Artemus Newton was an unlikely hero, and I wasn't sure I liked the read at first, but it got very interesting and very exciting. I only wish the author had completed the relationship with the girl--but  I guess that may be in a subsequent book.",A Really Good Book,2,2016-05-21
229,2,A230EYQR1NOROZ,B00507HLCI,"Honestly this book didn't have a plot. I think both the female character Madison needed more of a back story as well as the male character Ethan. I also don't understand why incubi and succubus hated vampires. What kind of rivalry did they have and why? Hmmmmmmm good sex scenes, but otherwise not a very gripping story with very little back stories for all characters involved.",Spoilers!!!!!,2,2016-06-17
230,1,ANNGMGU0OJS0E,B00507HLCI,"I like the premise of the story with its incubus angle. Having some knowledge on the subject, I was looking forward to reading something interesting and sexy...'Ethan' fell way short of my expectations.
To begin, I did not see the disclaimer in the synopsis when I downloaded the book; if I did, I would have skipped it, as I am not a fan of menages and multiple partner stuff, even if incubi may get into it. I should have read the synopsis and disclaimer more closely, so I can't blame the author for my error in judgment.
Anyway...I still didn't like the book:
* Profuse use of the c and p words. (Trashy - not sexy at all)
* Too many irritating editing issues, ie spelling, skipped/dropped words, clumsy sentences, etc.
* Semi-boring sex scenes.
* Weird plot issues...like when everyone is fearing for their lives in Ethan's kitchen, with danger approaching at any minute, the heroine's mind is consumed with wanting to jump Ethan's bones. I get it - he's a hot incubus. Still - I think the first thing in any woman's mind would be ""Who or what is trying to kill us? And - Let's get the hell outta' here!""
* A TSTL heroine...especially in the scene where she yells to a vampire ""Stop, or I'll shoot!"" Really? It's a vampire trying to kill your incubus/boyfriend, and he's coming after you next. To hell with a warning - roll up and bust a few caps!
Ugh. I'm glad that this was a freebie. Deleting from my Kindle.",The book cover is nice...,7,2016-01-19
231,2,AT0ZT3V40YVN5,B00507TKCW,"LONG review with spoilers.

This started out so promising, a 3 possibly a 4 star book with great writing, a dark and mysterious alpha hero in search of revenge and an intelligent heroine with her own, much milder past. At the 37% mark, thank you Kindle for accuracy, I had my first doubts then, later, smart characters doing stupid things ruined it.

Mikhael, the H has come to England to exact revenge on Charles, smug, self-satisfied, VERY ambitious fiancee of Sara, the beloved cousin to Hs BF. Charles is also a very evil doer. VERY as in not a fun bad guy, but a gross bad guy that needs to die a horrible death. [He not only owns various kinds of brothels (your run of the mill whorehouse, BDSM brothel where one can be beaten or beat, and, oh joy, a brothel that specialize in young children and virgins). Charles likes to frequent them as an avid customer as well especially after seeing his upper crust, self-contained fiancee. Charles the villain wants an earldom and wants Sara, daughter of a Duke, to help him get the status update. Sara was mildly crippled in her first season, lost out on love, and wants to get married, Shes a smart cookie, likes Charles enough, adores his daughter, and figures what the heck, so to speak.

In the quest for revenge, and to save Sara from marrying a sanctimonious whoremonger, the H seduces Sara at her own engagement ball. The shark started jumping at this point. From here on end, ranting spoiler

Under the ploy of telling Sara what a rotter her fiancee is, she and the H end up in the library during the ball. He doesnt just kiss her, but he seduces her to the point she is partially disrobed when her father, cousin, and fiancee come in. I did not buy it. Yes, the h was attracted to the H, but she is an intelligent and honorable woman. No way did I buy the nipple exposure. It was a cheap shot at implying overwhelming passion. Just as well he did it though, as Charles the evil fiancee not only calIs her a slut, but a cripple in need of a husband in front of her father and cousin. Excuse me, what a fine time for a duel.

The H and h end up marrying, and things are looking up. Then the revenge plot goes into full swing. The H is tightening the noose on the evil Charles. As if the brothels weren't enough, Charles has had people killed and arson set for a railroad deal. He needs to die basically. The H has such a specific revenge plot in place its ridiculous. The H wants honor in all ways

The H rescues Jenny, one of the girls from the virgin/pedophile brothel, while leaving the rest of the girls and children there. Jenny is one of the few characters whose brain cells function from beginning to end of this story. Shes a feisty and sweet girl who just wants a chance at life as well as a chance to spit on the evil guys grave. She ends up with her own little romance which she really deserved.

Angst, angst, and more angst. When I finally gave up the ghost is when the h finds out that Charles daughter was kidnapped in Jennys stead and was taken to the virgin/pedophile brothel. Jenny tells the h not to go, but the h has to rescue the little girl. Jenny says take lots of backup. Does the h take a battalion of the guards the H has left behind? No. The h runs off with the Hs turbaned sidekick to one of the most evil characters in the book. Spare me from good, smart characters turned criminally stupid. Really. One guy. One guy against the manager of a brothel that buys and sells young girls and children that are there against their will. The very brother that is OWNED by her spurned and vengeful ex-fiancee? If the h had been an impetuous character I might have bought it, but shes intelligent AND she has been warned and told what a total creep her ex-fiancee is. Right into the lions den she goes. To make matters worse, the evil ex-fiancee who monologues about the evils of women as he debauches virgins, pops into the room to check out the latest virgin only to find out its his kidnapped daughter. Hes horrified..

Such a promising start. Great writing, interesting characters, intricate plot, but the two main characters degenerated into such stupidity I couldn't get beyond it. The H I could handle as his reasons for wanting revenge are clear and understandable. ..[Charles the evil fiancee met him when he was ten and a slave in Tripoli (I think). Charles bought the H who thought he would be freed. Charles proceeded to sodomize him, beat him, then gave him away to be turned into a eunuch.

Oh yeah, and the evil fiancee mildly blackmails the Duke, the h's father, because her dad went to the BDSM brothel for a little paddling as he felt lost after his wife died. I guess that's the eighth stage of grief: spank me. The dad doesn't feel bad about encouraginghis only daughter to accept the creep's hand because he's still a gentleman.",Promising start. Characters degenerate into stupidity.,3,2017-05-23
232,3,A1FG2D6NRZD9NF,B00507TKCW,"*** 3 Cranky Stars ***

Peregrine, a wanderer and a man of mystery, comes to London for revenge on a man who destroyed his life. Stylizing himself as a Prince, Peregrine enlists the help of an old friend, Ross Carlisle, to introduce him in society.

Lady Sara St. James, Ross's cousin, meets Peregrine and is immediately intrigued by him. Sara is sheltered and cosseted. She's done everything correct - as a proper lady should, yet Peregrine's wildness begins to rub off on her.

The only problems: Sara's betrothed and her fiance is who Peregrine has come to destroy.

A bodice-ripping historical romance, this was an interesting read. Some of it was overly dramatic and at times, it felt like a morality lesson. There's a continuity issue in the book, but not a major one. Just enough to make me recheck to make sure.

There is also some wonderful information here about parts of the world that I didn't know about and now have been researching for more.

In saying that, there's a scene in here that was uncomfortable. Other readers have commented on it and so I don't need to. All I'll say is if I'd known it was in the book, I wouldn't have read it.",A bodice ripper,3,2017-03-01
233,4,A3S7POSKBI3OCB,B00507TKCW,"I galloped through this book and finished it feeling that the author is a gifted storyteller, but I may not be back to shop for more of Putney's work.  My conclusion is based on the disturbed leading man, Peregrine.  His love affair with Lady Sara St. James is spun out nicely with a lot of tantalizing ebb and flow, and the sex scenes are not forcibly graphic but rather full of allusion and figurative prose.  The author's command of Middle and Far Eastern history, geography, and culture was impressive.  Peregrine's traumatic past has, however, made him rather warped, and although the story is largely about his redemption from his own demons, I found it to be less than relaxing.  His somewhat tragic persona, combined with some of the seamiest descriptions of London's underbelly I've ever read, just put me off a little too much.",Good Despite Warped Leading Man,13,2017-01-09
234,3,AIETQ2OOGUA7I,B00507TKCW,"This is a pretty good revenge plot with appropriate pacing and intrigue. The main thing I don't like is the heroine's rigid sense of right/wrong. She is a duke's daughter, sheltered, naive and apparently an adherent of Methodist principles. She doesn't really try to understand her husband and when the going gets tough, she abandons ship. The characterization of the hero is more detailed and believable. Whether you agree with his method of revenge, he has justification. The author is trying to use the heroine's moral compass to rescue the hero, but in the process, I lost empathy for the heroine.

I know this is just a trashy romance novel but I still don't like it when authors try to enforce their code of morality on the reader. I much prefer situations where the judgment is left up to the readers.",Decent read but not sure about the morality lesson,9,2017-01-07
235,5,A3S2ME44B0RJ1B,B00507TKCW,"The story is engaging; the characters are complex; the results are very satisfying. This book is an adult story with adult sexual situations. If that's offensive to you, then don't read it.",A solid 4.5,2,2016-02-16
236,5,AMYBD2B8KEHXP,B0051EZBRM,"I almost didn't buy this one because of the reviews, but I gave it a chance.
The sex is not hardcore. I was expecting something really raunchy after reading the reviews, and I thought it was just right. The writing is fast paced and enjoyable, making the characters seem like real people. I didn't care that there was not a lot of history...that's not why I read romance novels. The language seemed mostly period correct, with no glaring words, although Jane answered a question by saying ""Absolutely"" which I feel is a more modern term. I would certainly recommend this entertaining novel to anyone who likes Regency romance, and look forward to the rest of the series.","Try it, you'll like it!",3,2017-05-15
237,4,ARZBJPF9PX3ZK,B0051EZBRM,"I enjoyed reading this book from start to finish. The characters of Jane, Ned and Vi were all so enjoyable. I loved Ned's humor and persistence in trying to win over Jane.
I liked Jane's fortitude in dealing with her hard life and her great love for her daughter.
I'm looking forward to reading the next book in the series.","Never a Mistress, No Longer a Maid by Maureen Driscoll.",2,2017-04-06
238,1,AGNPCLE0DKGNK,B0051EZBRM,But extreme graphic sex was not necessary to make the story interesting.  The story was interesting but I wouldn't recommend this book or any others by this author.,Good story line,7,2017-03-01
239,5,A18NLWS5BY18QQ,B0051EZBRM,"Jane, daughter of a surgeon and granddaughter of an earl, knows all about social ostracism. Ned, brother of a duke and retired from the Army and special services, is trying desperately to avoid the long-standing ""understanding"" between his family and one of the minor gentry. At a country Assembly, Ned and the village blacksmith save Jane from rape by her persistent, unwelcome suitor, mysteriously insistent on marrying her despite her adorable but illegitimate six-year-old daughter Vi, and following his own theories of convincing courtship.

The story romps on, replete with Duke, Earl, controlling social grande dame, vicious and vacuous minor gentry, murders, kidnappings, the de riguer carriage flight to Scotland, brawls, betrayals, and adventures both amorous and armed, as required of any good regency romance. The Bow Street Runners play their part, and Ned's family show promise for sequels. All in all, a fun, riveting book.",A fun Regenct romp,3,2016-08-20
240,1,A3CYA250L0DABZ,B0051EZBRM,"Seriously...a stranger rescues her from being raped, she turns around and has sex with him.  Looses her virginity to this stranger. And it's the most powerful orgasm he's ever had.  Seriously?  Nothing that happens later in the book could make up for that scene. Could not continue.",Stupid....,10,2016-07-11
241,5,A29KU896QJLUE8,B0051EZBRM,Loved this story. Read it some time ago and enjoyed it very much. The book has all the elements I like in a story. Now I got all the others siblings books and recently got Stapleton's. Hurra!,Very satisfied with the story.,2,2016-05-28
242,3,A2JPS7EMNFKXOV,B0051EZBRM,"My three stars instead of four is due mainly because of the hero and heroine.

The hero (Ned) was not very likable. I had a hard time believing he survived being a war spy when his behavior was so foolish. Add to that a touch of self-righteousness and domineering comments --- well you get the picture.  Heroine (Jane) was a little better because she was so selfless and self-sufficient, but she also made so really idiotic choices. However, at least by the end, she could readily admit her errors in judgment. The back characters were well developed, and I actually liked them better, especially Violet.

The writing was very good, as was the editing. Thankfully this book was not all about the sex, even though a few of the scenes were explicit. Also, the story was complete (not a cliffhanger), but because I liked many of the back characters (especially Lady Elizabeth) I am reading more about them in the next book.",3 stars because of the hero,8,2016-02-01
243,2,A113PIYPY65L8Z,B0051GA5WG,"Worse book in the series.  It had a good start but quickly fell apart.  While the story switched between the POV of the two main character's, far to much of the store was simply happening in the mind of Maria.  Van falls in love with her but the reader never really has any sense of it as nothing about him falling in love with her is ever told in the sections told from his point of view.  There were huge sections of the story that could have been fleshed out to tell a much better story that would engage the reader far more than this one did.  This story should have been one of those 99 cent stories as paying 2.99 before tax was way to much for such a pathetic little story.  It felt like Jo Beverley started the story and got really bored with it so she fit it together, wrote a few parts to bridge the gaps and then it was published with the knowledge that most people would purchase it on the strength of her name alone.  The only reason this has a two instead of only one star is because the bones of a great story are in there.",A terrible offering for what had been a good series.,2,2016-01-23
244,5,A22K02PU61HQR8,B0051QFLGG,"I am disappointed that there was no indication that this book is in the paranormal romance genre because I do not like to read those kinds of books. I gave this book five stars based on how well it was written, but I didn't finish the book, and didn't want to slap the writer in the face just because I don't like the genre. I liked everything else a out the book except for the paranormal episodes, but am giving the book back to Amazon because I don't want paranormal books in my list. Please make it obvious in the initial presentation/offering when books contain paranormal material so readers don't waste their time or don't bring into their homes material that they find offensive.",WARNING - Paranormal Content,2,2017-08-27
245,5,A2S5EPJ451WL3I,B0051QFLGG,"A Forever Kind of Love is the kind of sappy and poignant love story with just a hint of supernatural that will leave you wiping your eyes and sighing about the happy ending. In fact, there are two stories here... a parallel romance, so to speak.

Charlie needed a new start after being dumped by lame boyfriend, and when her aunt needed a little help on her farm, she thought of it as the perfect vacation. And once Charlie arrived, she found her neighbor Jason to be such a temptation. Jason's last GF decided she doesn't want to be a farm girl, so he's suspicious of any city girls, including Charlie. Then Charlie found a ghost in her aunt's dance hall... His name is Harm, and he died in 1936, after promising to elope. And his love's name was Charlotte... Charlie's great-great-great-grand-aunt. Charlotte died of a broken heart and never married, and somehow, both Charlotte and Harm are stuck on this mortal plane, unable to pass. Charlie promised Harm to help any way she can... and she'll need Jason's help to do it...

I'm not going to spoil how two present-day people can help two ghosts pass on and achieve their forever after, let's just say, read the book. It's not that long, and it'll bring a tear into your eyes.",A woman visiting her aunt found an interesting man... and a ghost from 1936. She'll need his help to set two ghost lovers free,2,2017-06-11
246,5,A29LDZILWNFI4P,B0051QFLGG,I was hooked from the first page. Love the way past and present were so intertwined. Beautiful combination of love stories and finding the one true love.,WOW!!!,2,2017-05-09
247,5,A6HRNO3H7T1E9,B0051QFLGG,This is the first book that I have read of Mona Ingram and I fell in love with this story.  Its a very sweet love story with a bit of mystery added to it.  I love how Jason and Charlie came to a understanding and fell in love.  This story was a fast and steady book that I couldn't put down at all well worth the read. I cant wait to read more of Mona's books.,A Forever Kind of Love,2,2017-04-08
248,5,A36XTPY9IFYA5R,B0051QFLGG,"Wish there was a 6 or 7 star rating...this was an awesome story..love, fantasy, ghosts and more...good read",a forever kind of love,2,2017-03-21
249,5,A28U98HYYE5DR1,B0051QFLGG,I really enjoyed reading this book.  I have tried to summarize it but I just can't seen to do it justice.  This is a love story that spans 2 generations.  It is told with humor and love.  I was drawn into the story finding it very hard to put down.  I would definitely recommend this book.,Charlie was going to help her Aunt after she had broken her foot.  Jason picked her up at the bus stop late.,2,2017-03-08
250,5,A37PEC0FDUL1JS,B0051QFLGG,"I enjoyed this book very much.  I was eager to read each chapter to see if the character, Charlie Mitchell, was going to be able to find love and also help her ghost friends find love once again as well.  The author tied everything together to make a very interesting and fun read.  I recommend this book to everyone and I'm looking forward to more great reads from this author.",I enjoyed this book very much,2,2017-02-27
251,5,A2UNMDJYXPEQZ3,B0051QFLGG,"This is a standalone read and no cliffhanger. There are no explicit sex scenes, other than kissing there is no sex at all so any age group would enjoy this book.  If you don't have a problem with the possibly of life on the other side, even teens would enjoy this story.  I LOVED it.  The heroine travels to a remote farm to be with an aunt that she barely knows.  Her mother thought she needed help after breaking bones in her foot.  She arrives to find a cowboy that just sets her off and the aunt is fine on her own but delighted to see her niece.  She finds a whole different kind of life from the one she had in the city.

She has a special gift.  She can feel energy and hear voices of those that have passed on.  She can also see spirits.  No one quite understands the gift and thinks she has a problem.  She has received such negative feedback when she has discussed her gift that she doesn't talk about it very often.  she arrives to her aunt's house, one that has been in the family for generations and immediately starts to pick up on a spirit in the house.  She is not afraid but feels the spirit wants something from her.  Seeing a picture of a long ago relative she recognizes herself as well as being named after this person.  She feels this is the spirit  that has a request for her.

This story was great.  I loved it. I believe in ""ghost"", spirits, etc. whatever you want to call them so I fell in with this plot very easily.  I thought it was a great approach to this eternal love story.  It is very entertaining and I DEFINITELY recommend it.  Great read.

I was not paid for this review.  I am not an author nor do know one.  I am not kin to this writer.  I am a reader and this is my opinion, nothing more, nothing less.",a lovely ghost looking for her lost love...,4,2017-02-16
252,5,AUI3XAZ1513SI,B0051QFLGG,I really liked this book keep up the good work,Five Stars,3,2017-02-12
253,5,A2XWCNVUA9XUOL,B0051QFLGG,This is a very sweet story.  I enjoyed the fact that there was a special twist to the book.  I've enjoyed all of the books I've read by Mona Ingram.  She knows how to write a great love story.,Very sweet and clean love story,10,2016-04-08
254,5,A1FD6KG6KZCU3W,B0051UBSLE,This is the first book that I have read by this author. I found this to be an engaging and fast paced story.  This is a paranormal story with a great plot that does not disappoint.  I am looking forward to reading the next books in this series.,Great start to a new series,2,2016-10-22
255,2,A17RW6P0XAHW1H,B0051V5QNY,"Well...I liked it and I did not like it.
 First off at a mere 90ish pages I would not call it a novel.
 It also ends very abruptly with a link to purchase book 2 which seems more likely that it is the second half of what should have been the rest of this book.

 Annie and Neal ""had to"" get married. Actually when Annie got pregnant Neal would have rather she had an abortion. He never wanted ""Baby Natasha"" and is not all that fond of being a husband either at only 21 years old.

 Neal works a minimum wage job and resents that he had to leave school to support a baby he never wanted.
 I read a lot of horror and I never really expect it to make sense so I have no problem at all with this story line of a 5 month old baby being out to kill. What did bother me was a couple of things that the author seemed to presume, such as one character mentioning that a 5 month old baby can't even sit up yet. Sure they may topple over but babies can indeed sit up usually any time between 4-7 months.  While it may be unusual for a 5 month old to want to kill anyone I don't see why the author would find it unusual for a 5 month old to sit up. He also seems to presume that breast size has anything to do with milk production. Hence Annie's thoughts that she needed to supplement with formula because of not having large breasts. Most of all what really grated on my nerves was that a character (Annie) who is so paranoid of crib death and who is always reading books on baby care would ever in a million years leave her baby in a car alone in a parking lot. No I take that back, what bothered me the most was Annie's baby talk. It made me want to throat punch her.

 Other than that, it was not a bad story. I mean who doesn't love a good evil baby story? But somehow even though this is currently free at amazon I feel cheated, because I thought this was a complete ""novel"" and not just half.",I feel cheated,2,2016-05-20
256,4,A2UUVPQUI9MWWY,B00522VD0C,"(I assume that if you are reading the Prose Edda, you know what it is.)
This is a translation by Arthur Gilchrist Brodeur first published in 1916. It is written in olde-English-legendary, i.e. thee's, thou's, and ye's instead of ""you."" But is is still quite readable. I got it because I wanted a Kindle version to read on an airplane flight and I didn't want to carry my 1956 Young translation (on paper). The price was right and it sufficed. If you really want to dig into the Edda you should probably buy a newer translation, but this one is OK.",Not as new as it might look...,5,2016-10-28
257,5,A2XOV3ZKGDK55G,B0052AHUYM,".
""We've Gone Too Far."" - ""The Expanse"" tag line

 Five EXPANSIVE Stars. Based on the novels of the talented two-man SciFi writing team called ""James S.A. Corey"" and also based on the Syfy Channel 10-episode production of their novels, this novella is from that universe. Set 200 years in the future, it shows how fractured mankind has become in this reality.

 The storyline of ""The Butcher of Anderson Station"" picks up with Colonel Johnson drinking in a bar served by a reluctant bartender. His feelings about 'Belters', those born in the weak gravity of the asteroid belt in the solar system, are about to take a sharp turn as he comes to grips with his past military encounter at Anderson Station, meets an unusual man, and he gets a fateful surprise at the end, as the storylines jump between two timelines, past and present. Fans of ""The Expanse"" may enjoy this highly-detailed prequel-like short story which explains specifically and graphically what the TV show jumped over about the Anderson Station encounter in Season 1, Episode 5, at 32 minutes in. Those not familiar with ""The Expanse"" may be left hanging, wondering what comes next, and go looking for answers in the other books or on TV. Highly Recommended. Five INFORMATIVE Stars. (Orbit Short Fiction publishers. 70 pages. Kindle Text review.)","""THE EXPANSE"": THE BACKSTORY ON ""THE BUTCHER OF ANDERSON STATION""",2,2016-06-01
258,1,A1I4ZFGVML36WA,B0052DMZRQ,"Spoiler alert:

Okay so the rest of the remaining world is struggling to live, but you've got a perfect corner.  You let people in, but they will always be second class.  You screw up once and they throw you out in the ugly world.  Never finished it.",Bummer dud.,2,2016-08-16
259,5,A255XJXWFOXY1Q,B0052NW97C,"I just finished the third book in this series and I feel like I am leaving six special friends and a wealth of other friends that were the support in these three books. I feel so much closer to God especially since reading so much from True Power and Real Peace in this book. The lives of the six friends and their journey to God has been a real blessing. I highly recommend starting with  the first book about Rebecca and Eric, then book number two about Emily and Jemerie, and book three Holly and Gabe. Truly there is a great reading experience waiting for you. Great job Ms Stallings.","The Faith Series 1, 2, & 3",2,2016-03-11
260,5,A1VLF85PMW02SH,B0052UYC70,"<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Broken-Glass-Book-One-The-Glass-Complex-Trilogy/dp/B0052UYC70/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Broken Glass: Book One - The Glass Complex Trilogy</a>&nbsp;Hurrah for a well written clean science fiction story!  Finishing book 1 has left me wanting more and the author has left some bread crumbs for where he might be heading in book 2. While there are a few battles between starships, the author didn't depend on war to give his story excitement and action. Instead, there is a solid storyline with good fighting evil.","Science fiction with human interest woven in-a great well-written book, clean and intense",2,2017-05-23
